name,website
CBRE Korea,https://www.cbre.co.kr/
Fotonation,https://www.fotonation.com/
Carlin Consumer Health,https://carlinconsumerhealth.com/
Max & Co.,https://world.maxandco.com/
Ulsan University College of Medicine,https://global.ulsan.ac.kr/en/Main.do
